Topics,Title,Description,Titles
Movie Review,"‘Killers of the Flower Moon’ Was ‘F–king Hellfire’ to Watch for ‘Reservation Dogs’ Star Devery JacobsRolling Stone ‘Killers of the Flower Moon’ Review: See It, Don’t Expect to Enjoy ItObserver 'Killers Of The Flower Moon' Correctly Makes This Big Choice. It S…",‘Killers of the Flower Moon’ Was ‘F–king Hellfire’ to Watch for ‘Reservation Dogs’ Star Devery Jacobs - Rolling Stone
Production,"Costume designer Jacqueline West, a four-time Academy Award nominee, had several directors on her wish list. She had already worked alongside Denis Ville- neuve, Ben Affleck, Terrence Malick and Alejandro González Iñárritu. This year, she finally crossed Mart…",‘Killers of the Flower Moon’ Costume Designer on Working With Martin Scorsese For the First Time
Financial Performance,"Martin Scorsese’s “Killers of the Flower Moon” opened with an unconvincing second place debut at the South Korean cinema box office. It earned $406,000 between Friday and Sunday and $499,000 over its full four-day opening period. Its market share was a shade …",Korea Box Office: ‘Killers of the Flower Moon’ Opens in Second Place
Movie Review,"The actress says that while the Indigenous actors ""were the only redeeming factors of this film,"" sitting through Martin Scorsese's latest ""was f--king hellfire."" The post ‘Reservation Dogs’ Star Devery Jacobs Chides ‘Killers of the Flower Moon’ for Writing O…",‘Reservation Dogs’ Star Devery Jacobs Chides ‘Killers of the Flower Moon’ for Writing Osage Characters as ‘Helpless Victims Without Agency’
Financial Performance,"According to estimates released by Comscore on Sunday, 'Leo' debuted in third position at the global box office over the latest weekend, with $31.2 million planetwide. But in terms of worldwide cumulative among new releases, 'Leo' collected $48.5 million afte…",Box office: 'Leo' beats Leonardo DiCaprio's 'Killers of the Flower Moon'. Know its weekend earnings
Financial Performance,"There were two major new entries this weekend at the international box office, one local (Tamil thriller Leo: Bloody Sweet) and one from Hollywood. Starting with the latter, Martin Scorsese’s Killers of the Flower Moon from Apple, Paramount and Imperative Ent…",‘Killers Of The Flower Moon’ Blooms With $44M Global; India’s ‘Leo’ Sweet In Opening; ‘Taylor Swift: The Eras Tour’ Rises To $165M WW
Themes Covered,"When author David Grann sought out the Osage tribe to tell the 100-year old crime story behind Killers of the Flower Moon, it would have been understandable that Osage leaders would have been skeptical. After all, back when endless supply of oil was found und…",Osage Chief Geoffrey Standing Bear On Why His Grandmother Wouldn’t Speak Of Murders Depicted In ‘Killers Of The Flower Moon’
Financial Performance,"Thalapathy Vijay's Leo: Bloody Sweet not just turned out to be a big hit in India, but is also impressing its global audience. In the recent data, the movie surpassed Leonardo Di Caprio's movie at Weekend Global Box Office","Vijay's ‘Leo’ wows global audience, beats Leonardo Di Caprio's ‘Killers of the Flower Moon’ at Weekend Global Box Office"
Movie Review,As originally published by Ben Okazawa on Exclaim!Killers of the Flower Moon's arrival in theatres last week has sparked a widespread conversatio,'Reservation Dogs' Star Devery Jacobs Says 'Killers of the Flower Moon' 'Dehumanizes' Indigenous People
Movie Review,"Actress Devery Jacobs has expressed her disappointment with Martin Scorsese's film 'Killers of the Flower Moon' for its portrayal of indigenous Osage people. She criticized the excessive violence and one-dimensional depiction of the characters, stating that t…",Devery Jacobs SLAMS Killers of the Flower Moon
Actors,No One Asked for a Video of Leonardo DiCaprio Rapping,No one asked for a video of Leonardo DiCaprio rapping. Someone leaked the birthday party footage anyway.,
Themes Covered,‘Killers Of The Flower Moon’ Star Lily Gladstone Warns Indigenous Viewers Of Film’s Traumatic Impact,Killers of the Flower Moon star Lily Gladstone is encouraging Indigenous viewers to watch the Martin Scorsese film “when and only if you feel ready.” The film looks at 1920s Oklahoma and the murder of dozens of the Osage people in an attempt to steal their we…,
Other Movies,"‘Opus’: Ayo Edebiri, John Malkovich, Murray Barlett, Amber Midthunder & More To Star In Upcoming A24 Horror Pic","How’s this for a buzzy cast list? Deadline reports that Ayo Edebiri and John Malkovich will star in “Opus,” an upcoming horror film from A24. The movie marks the feature debut of writer-director Mark Anthony Green, and he’s culled quite the ensemble for his f…",
Actors,Leonardo DiCaprio Raps Along to Gang Starr at 49th Birthday Party: Watch,The Oscar-winner rapped along to Greg Nice’s verse on Gang Starr's classic “DWYCK.” Leonardo DiCaprio Raps Along to Gang Starr at 49th Birthday Party: Watch Kayla Higgins,
Unrelated,‘SNL’: Timothée Chalamet as Wonka Sings About End of Actors’ Strike,‘Saturday Night Live’ host channeled his upcoming Willy Wonka by singing about AI and the end of the actors’ strike to the tune “Pure Imagination.”,
Other Movies,"Ayo Edebiri & John Malkovich To Topline A24 Horror ‘Opus’; Murray Bartlett, Amber Midthunder & Others Also Aboard, With Juliette Lewis In Talks","EXCLUSIVE: Ayo Edebiri (The Bear) and John Malkovich (Billions) are set to star in Opus, a horror pic marking the first feature of writer-director Mark Anthony Green, which will be financed and produced by A24. Additional cast set for the film, which has rece…",
Unrelated,'Could sink us in 2024': Trump allies want him to force out 'ineffective' RNC chair,"After crushing losses across multiple states in last week's elections, Republican operatives are now urging former President Donald Trump to lean on Republican National Committee chair Ronna McDaniel until she resigns. According to CNBC, an ouster of McDanie…",
Other Movies,Netflix Reopens Hollywood's 'Egyptian' Movie Palace,"The Egyptian Theatre, which hosted Hollywood's first-ever red carpet premiere in its faux hieroglyph-adorned courtyard more than a century ago, reopens this week under the new ownership of Netflix.",
Other Movies,Weekend Box Office: The Marvels bombs,"Box Office: 'The Marvels' Misfires With $47 Million, Lowest MCU Opening Weekend of All Time https://t.co/zVOUZMETVg — Variety (@Variety) November 12, 2023The Marvels may have nabbed top spot at the box office this weekend, but that point is the only good thi…",
Themes Covered,Lily Gladstone Supports Killers of the Flower Moon’s Native Audience,"Lily Gladstone shared a message for ‘Killers of the Flower Moon’s native audience. ‘See it when and only if you feel ready, and see it with people you feel safe with,” she tweeted. “You’ll likely have a lot of generational grief to process.”",
Other Movies,The Marvels: Superhero movie bombs with lowest MCU box office debut,"""This opening is an unprecedented Marvel box office collapse,"" says box office analyst David A Gross.",
Scorsese,Francesca Scorsese on What It’s Like to Direct Her Famous Father—on Her Viral TikTok,The younger Scorsese has been on a heater posting delightful videos of Marty.,
Unrelated,The Hollywood strikes are over. Here’s when you could see your favorite stars and shows return.,Wednesday’s deal between striking actors and studios and streaming services won’t immediately restore filming to its full swing. That will take months.,
Unrelated,Feinberg Forecast: Scott’s First Post-Strike Assessment of the Oscar Race,"The Hollywood Reporter's executive editor of awards coverage updates his read of 11 categories. This forecast, assembled by Scott Feinberg, The Hollywood Reporter’s executive editor of awards coverage, reflects Scott’s best attempt to predict the behavior of …",
Movie Review,Boosie Badazz Enraged By 'Killers Of The Flower Moon' Movie: 'This P-sses Me The F-ck Off',"Boosie Badazz shared his thoughts on Martin Scorsese's 'Killers of the Flower Moon,' revealing he ""hated"" the contents of the movie.",
Other Movies,Ridley Scott Reveals the Last Words He Shared With His Brother Tony—and Gives Historical Nitpickers a Bit of the Old Logan Roy,"Still cranking on new projects at 85, the ‘Napoleon’ and ‘Gladiator 2’ director is too busy to worry about dying—or getting fact-checked on TikTok.",
Unrelated,"After Settling The Strikes, What’s Next For Media Moguldom?","Post-strikes, media leaders can hardly take a victory lap with a pile-up of challenges that demand much-needed attention and can no longer wait. Here’s where I’d start.",
Movie Review,Killers Of The Flower Moon Is The Good Version Of Gangs Of New York,"Though longer and more epic, Martin Scorsese&amp;#39;s Killers of the Flower Moon plays out like a much more streamlined and powerful version of his Gangs of New York.",
Other Movies,"‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars","Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…",
Actors,Leonardo DiCaprio Grabs a Mic and Raps at His 49th Birthday Party,"Leonardo DiCaprio let loose while celebrating his birthday over the weekend. According to a clip obtained by TMZ on Sunday, November 12, DiCaprio, 49, was hoisted up by his guests and danced around at the crowded party while a hip-hop song played. At one poin…",
Scorsese,How Martin Scorsese Made His Most Challenging Movie Yet,"The Oscar-winning filmmaker scrapped a completed screenplay to turn the plot of his new movie, ‘Killers of the Flower Moon,’ inside out. #flowermoon",
Other Movies,A Good Weekend for Miss Priss,"Sofia Coppola’s ‘Priscilla’ makes history at the box office. Plus, leaderboard shakeups, a team name spotlight, and The Marvels on the horizon for the Movies Fantasy League.",
Other Movies,Box Office Results: The Marvels Fails to Ignite,"Disney/Marvel’s The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, falling short of The Incredible Hulk’s $55M opening in 2008…",
Actors,Leonardo DiCaprio Was Paid An Absurd Amount Of Money For ‘Killers of the Flower Moon’,"Not only is Martin Scorsese’s new film Killers of the Flower Moon expected to earn Leonardo DiCaprio another Academy Award nomination for Best Actor, but he also apparently made quite the paycheck. According to a report from Puck News, the 48-year-old A-liste…",
Other Movies,'The Marvels' Has A Far From Marvelous N.America Opening,"New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normally money-cranking Marvel Cinematic Universe.",
Unrelated,"Ridley Scott: If I Ever Win an Oscar, ‘I’ll Say, About Feckin’ Time’","The ""Napoleon"" director has been nominated four times for directing and producing but has famously never won an Academy Award.",
Scorsese,Martin Scorsese’s Daughter Loves Trolling Him About Marvel,"After the filmmaker publicly labeled Marvel movies “not cinema,” his 23-year-old daughter Francesca played a superhero-themed joke on him.",
Other Movies,Camerimage Festival Director Shares Statement About Adam Driver’s Viral Expletive Response During ‘Ferrari’ Audience Q&A,"Adam Driver’s lowkey visit to Poland’s EnergaCamerimage Film Festival turned into a viral meme over the weekend after the actor gave an expletive response to a question during an audience Q&A following a screening of Ferrari.  Marek Zydowicz, the festival’s d…",
Unrelated,Local bestsellers for the week ended Nov. 5,Based on reporting from the independent booksellers of the New England Independent Booksellers Association and IndieBound.,
Actors,Robert De Niro's company found liable in gender discrimination case,"While the jury found De Niro was not personally liable for the abuse, they ordered his production company to make two payments of $632,142 to his longtime personal assistant.",
Other Movies,The 6 Actors Who Could Play Elon Musk in Darren Aronofsky’s Biopic,"Photo Illustration by Luis G. Rendon/The Daily Beast/Getty/Reuters Director Darren Aronofsky, the patron saint of edgy-dark fare like biblical horror film mother!, drugged-out nightmare Requiem for a Dream, and his latest, The Whale—which earned Brendan Fras…",
Other Movies,2024 Oscars shaping up as a 'Barbenheimer' sequel,"""Barbie"" and ""Oppenheimer"" ruled the summer. Now it looks like they'll take over the Oscars. We comb through the categories to see how many nominations they'll likely earn.",
Other Movies,Can ‘The Hunger Games’ Prequel Rule The November 2023 Box Office?,"Sequels, original family fare, and award season darlings will vie for audience attention through the Thanksgiving holiday.",
Actors,Robert De Niro’s company ordered to pay $1.2 million in gender discrimination lawsuit,The jury did not find the actor personally liable but ordered his company to make two payments to his former personal assistant Graham Chase Robinson.,
Other Movies,"‘The Marvels’ Tallies Only $21.5 Million On Box Office Opening Day Despite $220 Million Budget, Report Says",The movie is projected to deliver the worst weekend box office debut in Marvel Cinematic Universe history.,
Unrelated,"An Elon Musk Biopic is Coming, Someday. In the Meantime, Let's Cast it Ourselves",A24 and Darren Aronofsky have announced plans to put the polarizing SpaceX/Tesla CEO's life story on the big screen. Here's who could help them do it.,
Other Movies,‘Napoleon’ World Premiere: Watch Ridley Scott Introduce His Historical Epic; Vanessa Kirby & Sony’s Tom Rothman Share Post-Strike Thoughts On Red Carpet,"Paris’ Salle Pleyel hosted the world premiere of Ridley Scott’s Napoleon this evening, rolling out the red carpet for the epic that stars Joaquin Phoenix and Vanessa Kirby. Scott, the two leads and actor Tahar Rahim all were in attendance for the unveiling of…",
Themes Covered,Lessons on exploitation in “Killers of the Flower Moon”,"For this month’s “Econ Extra Credit” project, we’re watching Martin Scorsese’s new feature film, “Killers of the Flower Moon.” The film shows how white settlers terrorized members of the Osage Nation, violently attempting to acquire their oil resources. We’re…",
Other Movies,The Marvels Director ‘Really Wanted’ The Film to Be Under Two Hours,The Marvels director Nia DaCosta has revealed why she wanted to keep the movie under two hours long.,
Unrelated,The Hollywood strikes are over. Here's when you could see your favorite stars and shows return,Missed your favorite actors,
Production,"Deadline’s Sound & Screen: Film Kicks Off Tonight With Live Music From ‘Barbie’, ‘Killers Of The Flower Moon’ & More With Stars Including Mark Ronson & Diane Warren","Deadline’s Sound & Screen, our awards-season composer showcase of original music for some of this year’s most acclaimed films, gets underway tonight at UCLA’s Royce Hall, with a 60-piece orchestra tuning up to make it all sing. The event for industry voters b…",
Themes Covered,Is fiction publishing broken? (This week in books),"This week! Books! First up, the wonderful organization We Need Diverse Books has launched a site called Indigenous Reads Rising, which is dedicated to helping educators, librarians, and readers find books by Native authors and illustrators. As anyone who is q…",
Unrelated,Which Oscar Contenders Got the Biggest Boost From the End of the Strike?,"With the end of the SAG strike, awards campaigning can finally start in earnest. Which 2024 Oscar contenders will do well on the trail?",
Actors,"Robert De Niro attends closing arguments in civil trial over claims by ex-VP, personal assistant",Robert De Niro looked on Wednesday as a lawyer for a woman who worked for him for over a decade urged a jury in closing arguments to award her millions of dollars for emotional distress and reputational harm because the actor discriminated and retaliated agai…,
Unrelated,"Ridley Scott On Never Winning An Oscar: “If I Ever Get One, I’ll Say, ‘About Feckin’ Time'”","It’s hard to believe that after 27 feature films, Ridley Scott still has yet to win an Oscar. He came closest at the 73rd Academy Awards, where his 2000 film “Gladiator” won Best Picture and Russell Crowe won Best Actor. But Scott wasn’t a credited producer o…",
Scorsese,Why De Niro Paddles DiCaprio In Killers Of The Flower Moon Explained By Scorsese,Martin Scorsese explains why he felt it necessary to show Robert De Niro's character paddling Leonardo DiCaprio in Killers of the Flower Moon.,
Unrelated,"Ed Lachman Talks ‘El Conde,” Pablo Larraín & Teases The Filmmaker’s Maria Callas Biopic — Camerimage","Two-time Oscar-nominated cinematographer Ed Lachman looked shattered by the time he sat down with us for an interview here at EnergaCamerimage in Torun, Poland.  “I broke my hip, and it didn’t heal correctly. Now I’ve got an operation,” Lachman said of his ph…",
Scorsese,Not all Charities or Charitable Donors are Charitable,"Martin Scorsese’s newest film, Killers of the Flower Moon, which is based on David Grann’s nonfiction book, tells the story of how Oklahoma cattle baron William King Hale and his nephews Bryon and Ernest Burkhart outwardly pretended to be...",
Other Movies,‘The Marvels’ melts down at box office,"Since 2008’s “Iron Man,” the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of “The Marve…",
Production,Deadline Launches Streaming Site For Sound & Screen: Film,The 2023 edition of Deadline’s live-music event Sound & Screen: Film hit the stage November 9 showcasing the songs and scores from 12 of the ramping-up awards season’s buzziest movies. Panelists and performances came from the likes of Diane Warren and Mark Ro…,
Other Movies,MCU Drafters Take a Marv-‘L’,"An update in the Movies Fantasy League standings include box office implications from ‘The Marvels’ and ‘The Holdovers,’ plus, a deep dive into a very special mini-league: AllOfUsGarys!",
Other Movies,Greta Gerwig and ‘Barbie’ Creative Team to Receive Gotham Awards’ Global Icon and Creator Tribute,The prize was created to recognize cultural icons and the filmmakers responsible for bringing that icon’s story to life The post Greta Gerwig and ‘Barbie’ Creative Team to Receive Gotham Awards’ Global Icon and Creator Tribute appeared first on TheWrap.,
Unrelated,"Post-strike Hollywood rushes to get film, TV sets humming","(marketscreener.com) Hours before the Hollywood actors strike officially ended, Beth Goodnights phone began ringing with opportunity. The head of a Hollywood construction company and prop shop that bears her name dispatched two project managers to begin bi…",
Actors,Robert De Niro's company found liable in gender discrimination lawsuit filed by former assistant,A jury has ordered Robert De Niro’s company to pay more than $1.2 million to his former personal assistant after finding his production company engaged in gender discrimination and retaliation. While the jury found De Niro was not personally liable for the ab…,
Unrelated,We found all the best prices on tickets for Jason Isbell’s 2024 tour,"Isbell is taking his brand of mournful, country-fried rock to venues all over the U.S. in 2024.",
Other Movies,Timothée Chalamet Reminds Us What ‘SNL’ Is Really About: Shameless Project Promotion,Thank goodness we have a way to discover that ‘Wonka’ is coming to theaters on December 15th,
Other Movies,Here's what comes next after striking actors get their happy ending with new deal,"Popular franchises, like “Deadpool,” “Abbott Elementary” and “The Last of Us,” will be a step closer to returning to screens.",
Other Movies,Quality Over Quantity: Apple’s Streaming Strategy Boosts Demand. But Subscriber Engagement Is a Struggle,"Apple is strategically aiming to expand its influence in the streaming landscape via its Apple TV+ service. After investing heavily in high-profile TV shows such as “Ted Lasso” and “For All Mankind,” the company is now investing in prestige movies such as “Ki…",
Actors,"Robert De Niro trial verdict decrees his company, Canal Productions, to pay ex-assistant $1.26 mil","Graham Chase Robinson was awarded a hefty sum after she claimed her former employer used her position to assign humiliating tasks. The post Robert De Niro trial verdict decrees his company, Canal Productions, to pay ex-assistant $1.26 mil appeared first on J…",
Themes Covered,Lily Gladstone Warns Native Audiences ‘Killers of the Flower Moon’ May Trigger “A Lot Of Generational Grief To Process”: “You’re Not Alone”,The actress shared multiple resources for Native viewers to turn to.,
Other Movies,'The Marvels' Suffers 'Unprecedented Box Office Collapse',The superhero movie may have encountered a new villain at the box office: genre fatigue.,
Movie Review,Review: ‘The Killer’ Is A Powerful Slow-Burn Action Thriller,David Fincher and Michael Fassbender team up for a tour de force tale of violence and payback.,
Themes Covered,The curse of “black gold”,"We’ve selected “Killers of the Flower Moon,” the 2017 book by David Grann that was just adapted for the screen by Martin Scorsese, for November. It tells a violent story of greed, theft and murder throughout the 1920s, when many white Americans married and ki…",
Themes Covered,‘Killers of the Flower Moon’ Initially Had a Very Different Opening Scene,Martin Scorsese told IndieWire why he and screenwriter Eric Roth changed the beginning of their Western epic.,
Unrelated,How does climate change threaten where you live? A region-by-region guide.,The U.S. government's most comprehensive report on the effects of climate change details challenges for every part of the country.,
Unrelated,‘The Iron Claw’ Jumps Into The Best Picture Ring As SAG Unleashes The Actors,"As news broke that SAG-AFTRA and AMPTP had come to an agreement and Hollywood would finally be heading back to work again, Harris Dickinson and Zac Efron were walking the red carpet of the premiere of their latest film, “The Iron Claw,” in Dallas. As an A24 r…",
Other Movies,"Opus: Amber Midthunder, John Malkovich, Juliette Lewis, & more join A24 horror film","Mark Anthony Green's A24 horror film Opus is set to star Amber Midthunder, John Malkovich, Juliette Lewis, Ayo Edebiri, and more The post Opus: Amber Midthunder, John Malkovich, Juliette Lewis, & more join A24 horror film appeared first on JoBlo.",
Scorsese,"For his final work, with Martin Scorsese, Robbie Robertson found a personal connection","The musician was a descendant of Mohawks. Working on a story about the Osage and their victimization was ""especially important for him, especially meaningful,"" says the director.",
Themes Covered,Lily Gladstone Shares a Message of Support for Native Viewers of ‘Killers of the Flower Moon’: ‘Native People Remain’,"""Never forget this story is recent history with a lasting impact on breathing, feeling people today,"" the actress writes The post Lily Gladstone Shares a Message of Support for Native Viewers of ‘Killers of the Flower Moon’: ‘Native People Remain’ appeared fi…",
Other Movies,"Marvel's The Marvels opens at the top of the weekend box office, and let’s leave it at that","It looks like Marvel Studios’ domination of the U.S. box office continues, with The Marvels—the latest entry in the MCU—opening in the number one spot. Of course… it did also manage to have the worst opening weekend in the history of the franchise, as predict…",
Unrelated,Holiday gift picks from our team,"Today marks our annual holiday gift recommendation episode, and this year we’ve added a fresh new twist: I’ve invited members of our team to join me in answering a whole […] The post Holiday gift picks from our team appeared first on Modern Mrs Darcy.",
Other Movies,"A24 Announces Opus, a Pop Star Horror Movie Starring John Malkovich and Ayo Edebiri","A24 is set to finance and produce writer/director Mark Anthony Green’s debut horror film, Opus. A Star Is Reborn Plot details are being kept under wraps for now, but the project is a horror film set around an iconic pop stars’ return following his decades-lon…",
Actors,Robert De Niro’s Ex-Assistant Wins $1.2 Million in Gender Discrimination Lawsuit,"A jury found one of De Niro’s companies, Canal Productions, responsible for subjecting the actor’s former personal assistant Graham Chase Robinson to a toxic work environment.",
Themes Covered,The history of economic exploitation in “Killers of the Flower Moon”,"This month for the “Econ Extra Credit” project, instead of watching a documentary, “Marketplace Morning Report” is watching a feature film based on the historical record, “Killers of the Flower Moon,” directed by Martin Scorsese. Members of the Osage Nation h…",
Movie Review,"Awesome Art We’ve Found Around The Net: Back To The Future, Batman, Drive, The Marvels, Killers of the Flower Moon","Some cliche somewhere said that ‘a picture is worth a thousand words.’ This has proven to be the case for... The post Awesome Art We’ve Found Around The Net: Back To The Future, Batman, Drive, The Marvels, Killers of the Flower Moon appeared first on JoBlo.",
Other Movies,A24 Announces New Horror Film Opus With John Malkovich And Ayo Edebiri,"A24 has announced a new horror film from director Mark Anthony Green titled Opus. The film will star Ayo Edebiri (The Bear, Bottoms) and Academy Award nominee and Emmy winner John Malkovich. Also in talks to joining them are Murray Bartlett (The White Lotus),…",
Financial Performance,‘Killers of the Flower Moon’ Box Office: Is Martin Scorsese’s $200 Million Epic a Hit or Flop?,"“Killers of the Flower Moon,” Apple’s first major theatrical release, has generated $120 million globally after three weekends of release. Is that a good result for a movie backed by a streaming service? A terrible outcome for a glowingly received, $200 milli…",
Scorsese,Martin Scorsese is the internet’s new It Girl,"Decoding Fandom is a weekly column that dives deep into the world of fan culture and runs on Saturdays in the Daily Dot’s web_crawlr newsletter. If you want to get this column a day before we publish it, subscribe to web_crawlr, where you’ll get the daily sco…",
Unrelated,Quality Over Quantity: Apple’s Streaming Strategy Boosts Demand. But Subscriber Engagement Is a Struggle | Charts,Apple TV+ captures 8.3% of U.S. market demand for streaming shows with just 2.1% of streaming originals — but the service's limited catalog makes sustaining subscriber interest a challenge The post Quality Over Quantity: Apple’s Streaming Strategy Boosts Dema…,
Scorsese,"Thelma Schoonmaker Says It Was “Devastating” To See ‘Raging Bull’ Lose Best Picture, Says Martin Scorsese Should Have “At Least Seven” Oscars","There isn’t a director-editor relationship in Hollywood more fruitful than Martin Scorsese and Thelma Schoonmaker. The pair have worked on every single one of Scorsese’s films since 1980’s “Raging Bull,” and first worked together on Scorsese’s 1967 debut, “Wh…",
Unrelated,Hollywood deals get writers and actors back to work but don’t stop painful industry transformation,"The strikes were historic in their length and cost, causing an estimated $6 billion in economic loss and leaving hundreds of thousands out of work.",
Actors,Leonardo DiCaprio Raps for Guests at Star-Studded 49th Birthday Party,"Leonardo DiCaprio's birthday is worthy of a Gatsby-level celebration.  And to ring in his special day, the Oscar winner invited a bevy of A-list stars—including Kim Kardashian, Chris Rock, Snoop...",
Actors,Leonardo DiCaprio was reportedly paid $40M for ‘KILLERS OF THE FLOWER MOON.’,"Leonardo DiCaprio was reportedly paid $40M for ‘KILLERS OF THE FLOWER MOON.’(https://t.co/4qCXV4fOz3) pic.twitter.com/xOYiV1vxrO — Film Updates (@FilmUpdates) November 10, 2023 According to a report from Puck News, the 48-year-old A-lister took home $40 mill…",
Scorsese,Barnes and Noble Criterion Sale 2023: Save 50% on Martin Scorsese Blu-rays,"8 of Scorsese's 26 feature films are part of the collection, along with two documentaries and six shorts.",
Themes Covered,Lily Gladstone Offers Support to Native Audience of ‘Killers of the Flower Moon’: “See It When and Only If You Feel Ready”,"Killers of the Flower Moon star Lily Gladstone shared a message of support and trigger warning for Native viewers considering watching Martin Scorsese’s film. The actress took to social media on Thursday night to offer comfort and resources, particularly to y…",
Unrelated,"Rushes: Filmmakers Withdraw from IDFA, SAG Strike Ends, Paul Thomas Anderson x The Smile",,
Other Movies,"‘The Marvels’ Tallies Only $21.5 Million At Box Office On Opening Day Despite $220 Million Budget, Report Says",The movie is projected to deliver the worst weekend box office debut in Marvel Cinematic Universe history.,
Unrelated,"The week's bestselling books, Nov. 12","Southern California Independent Bookstore Bestsellers list for Sunday, November 12",
Unrelated,A surprising number of veterans go uninsured,"A new report from the Urban Institute finds that hundreds of thousands of younger veterans are uninsured. One of the solutions it outlines is expanded Medicaid, which all but 10 states have already done. Plus, the story of terror portrayed in “Killers of the …",
Other Movies,"Camerimage Opens With Tribute To Former Academy President John Bailey, Adam Driver Accepting Acting Honor & Last Minute Willem Dafoe Appearance","A thick fog hung over Torun, Poland, this evening as the 31st edition of the city’s EnergaCamerimage Film Festival cruised into gear with a lengthy opening ceremony at the stylish Jordanki Culture Centre.  As always at Camerimage, proceedings on the eve began…",
Unrelated,Chris Tomlinson: Rightwing Media is Dividing the Country and Killing History,"Chris Tomlinson is an award-winning columnist for the Houston Chronicle. In this column, he describes the damage that extremists are doing to our country. The true story was almost custom-made for Hollywood. A powerful man convinces his nephew to marry into a…",
Other Movies,A Murder At The End Of The World premiere: Gen Z Sherlock is on the case,"A Murder At The End Of The World starts at a disadvantage. Opening with a Doors song will do that to you, especially the one echoing Apocalypse Now. As a needle drop, the Doors are a blunt object. A Murder At The End Of The World uses “The End” like a sledgeh…",
Scorsese,Thelma Schoonmaker: Scorsese deserved Oscar for Raging Bull,"Although Ordinary People took home Best Picture and Director, Martin Scorsese wanted competitor Raging Bull to earn him his first Oscar. The post Thelma Schoonmaker: Scorsese deserved Oscar for Raging Bull appeared first on JoBlo.",
Scorsese,AVENGERS: ENDGAME Director Joe Russo Responds To Backlash Over Recent Martin Scorsese/Box Office Joke,"Avengers: Endgame director Joe Russo recently took a tongue-in-cheek shot at the superhero-hating Martin Scorsese, and the filmmaker has now responded to the backlash by explaining the joke's origin...",
Scorsese,"From ‘Barbie’ to Scorsese, the Cinematographer Who Nailed Their Visual Styles","Veteran cinematographer Rodrigo Prieto’s versatility could not be more evident than in his most recent work, which called for filming a 1920s Osage Nation in Martin Scorsese’s Killers of the Flower Moon and shooting the candy-colored Barbie Land of Greta Gerw…",
Themes Covered,Lily Gladstone Warns of ‘Killers of the Flower Moon’ Triggers: Native Audiences Will Feel ‘Generational Grief’ Onscreen,"""Never forget this story is recent history with a lasting impact on breathing, feeling people today,"" Gladstone wrote on social media.",
Unrelated,Daisy Ridley’s Post-‘Star Wars’ Career Suffers Major Blow,"After rising to new heights of international fame thanks to her role in the Disney-overseen Star Wars Sequel Trilogy, Daisy Ridley has struggled to replicate some of her past success in the film and TV landscape — and her latest project, The Marsh King’s Daug…",
Unrelated,Timothée Chalamet celebrates the end of the SAG-AFTRA strike in SNL monologue,"Timothée Chalamet returned to Saturday Night Live last night for the show’s first episode since the end of the SAG-AFTRA strike, meaning hosts no longer have to dance around who they are and why they’re there so they don’t look like scabs, and Chalamet celebr…",
Production,'Killers of the Flower Moon' SFX Coordinator Breaks Down the Epic's Biggest Effects,"Killers of the Flower Moon is traditional big-budget filmmaking at its finest. It is the type of film that feels almost rare these day, and when you catch a moment that sparks your interest (both as an audience member and as a filmmaker), you want to know mor…",
Other Movies,Box Office Predictions: The Marvels looks to have one of the worst MCU debuts,"With many fans growing tired of the MCU formula, The Marvels looks to have a debut in the bottom three of all 33 films. The post Box Office Predictions: The Marvels looks to have one of the worst MCU debuts appeared first on JoBlo.",
Financial Performance,Jury’s still out on the profitability of Apple’s ‘Killers of the Flower Moon’,"Martin Scorsese's ""Killers of the Flower Moon,"" starring Leonardo DiCaprio and Robert De Niro and Apple's first major theatrical release… The post Jury’s still out on the profitability of Apple’s ‘Killers of the Flower Moon’ appeared first on MacDailyNews.",
Themes Covered,Osage Tribe Members Speak Their Minds About ‘Killers of the Flower Moon’,"Martin Scorsese's ""Killers of the Flower Moon” explores the “Reign of Terror,” a dark period in 1920’s Oklahoma when white cattle rancher William Hale orchestrated the murders of Osage tribe members to take land rich with oil. Hollywood has a long history o…",
Actors,Jury awards $1.2 million to Robert De Niro’s former assistant in gender discrimination lawsuit,A jury has awarded over $1.2 million to Robert De Niro’s former personal assistant after finding his production company engaged in gender discrimination and retaliation,
Actors,These Are Fans' 10 Favorite Leonardo DiCaprio Movies (& 'Titanic' Doesn't Even Make the List!),"Cinephiles have shared their opinions about Leonardo DiCaprio‘s movies! The Oscar-winning actor burst onto the Hollywood scene in the 1990s with his roles in What’s Eating Gilbert Grape and Titanic, which catapulted Leonardo to the A-list status he has retain…",
